ID,IMDB_ID,Budget,Production Companies,Production Countries,Revenue,Runtime,Director
996873,,0,[],[],0,0,Edona Krye
996893,tt13381574,0,[],[],0,0,Piotr Trzaskalski
996897,tt3410282,0,"['Foci-tuotanto', 'Autere Films']",['Finland'],0,91,Jarno Elonen
996921,tt21623124,0,"['Crazyone!!! Films', 'Yayasan Hivos']",[],0,15,M. Reza Fahriyansyah
996922,,0,[],['Japan'],0,42,Zenzo Sakai
996925,,0,[],[],0,19,Williy Lau
996969,tt21422800,0,['Francesc J. Cuéllar PLA'],['Spain'],0,67,Francesc Cuéllar
996973,tt19513090,0,[],['Spain'],0,70,Eva Garrido
996978,tt15144526,0,['Institute for Advanced Architecture of Catalonia'],['Spain'],0,79,Manuel Lógar
997013,,7000,[],['United States of America'],0,11,Liam Tangum
997017,,0,[],['France'],0,18,Caroline Poggi
997060,tt12432558,0,"['WonderPhil Entertainment', 'Silicon Prairie Center Studios']",['United States of America'],0,0,Phil Gorn
997064,,0,[],[],0,0,
997068,,0,[],[],0,12,Rodrigo Rebello de Andrade
997074,,0,[],['Portugal'],0,2,Margarida Silva
997080,,0,[],['Portugal'],0,18,Tiago Smith
997102,,0,[],['Brazil'],0,5,Claus Canddie
997106,tt21280244,0,['Fundament Film'],['Sweden'],0,100,Rasmus Ohlander
997107,tt14643640,0,[],['Nigeria'],0,90,Ema Edosio
997108,tt21226152,0,"['Ucqar Film', 'Estudios Splendor Omnia', 'Bord Cadre Films', 'Sovereign Films', 'Cárcava Cine', 'TRT Sinema', 'Poetik Films', 'Ultra Production']","['Azerbaijan', 'Mexico', 'Switzerland', 'Turkey']",0,89,Hilal Baydarov
997111,,0,[],['Mexico'],0,2,Leonardo Pérez Larios
997120,tt21222434,0,['Destination Films'],['United States of America'],0,96,Oliver Thompson
997121,,0,[],[],0,4,Armando D. Baeza
997124,tt22769014,0,[],['Argentina'],0,70,Julián Giulianelli
997125,,0,[],[],0,2,Missohio
997128,,0,[],['Argentina'],0,0,Marta Valle
997133,,0,['3Farben'],[],0,0,
997138,,0,['3Farben'],[],0,0,
997157,,0,['3Farben'],['Germany'],0,20,Nils Lowag
997171,tt22489424,0,[],['Canada'],0,45,Félix Lamarche
997190,tt16578860,0,"['Silver Peak Productions', 'Candlelight Media Group', 'SunWorld Pictures']",['United States of America'],0,90,Brian Brough
997195,,0,[],[],0,90,Terry T. Miles
997204,,0,"['爱奇艺', '上海腾讯企鹅影视文化传播有限公司']",['China'],0,82,Zhou Tianyu
997216,,0,[],[],0,0,
997235,,0,['Kichukhan Entertainment'],['India'],0,0,Rohan Sen
997252,,0,[],[],0,0,
997269,,0,[],[],0,0,
997270,tt14673378,0,['EQ Media Group'],['Australia'],0,50,Larissa Behrendt
997271,,0,[],[],0,0,
997272,,0,[],[],0,0,
997287,,0,[],[],0,4,Noy Levi
997288,tt20516932,0,"['Known Associates Entertainment', 'Barking Rat Films', 'ETV']",['South Africa'],0,105,John Barker
997296,,0,[],[],0,0,
997297,tt15514444,20372,['BayView Entertainment'],[],0,98,Joanna Januszewski
997298,tt21229896,1200000,['Karam Batth Productions'],[],0,122,Vikram Pradhan
997300,,0,[],[],0,53,Charles-Henri Georget
997305,,0,[],[],0,0,Abdulaziz Alsultan
997317,tt23770418,0,"['A-1 Pictures', 'Aniplex', 'Shueisha', 'East Japan Marketing & Communications', 'MBS']",['Japan'],0,96,Mamoru Hatakeyama
997319,tt20316894,100,[],[],0,7,Grant Polifka
997323,,0,['Moviezy'],['Indonesia'],0,11,Ridho Ivander Rama
997324,,0,[],[],0,12,Charlie Kay
997328,tt15507228,0,[],[],0,0,Alfonso Bergamo
997343,,0,[],['Israel'],0,68,Moran Ifergan
997357,,0,[],['United States of America'],0,2,Buddy Blade
997361,,0,[],[],0,25,Denis F. Miala
997364,tt21298582,0,"['Johnson Production Group', 'Novus Ordo Seclorum Entertainment']","['Canada', 'United States of America']",0,84,Heather Hawthorn-Doyle
997383,tt20228124,0,[],[],0,69,Jeff Carroll
997390,tt13917796,0,[],[],0,0,Lance Kawas
997392,,0,[],['China'],0,87,Chan Tai-Li
997395,tt15180492,0,['One Seat Left Productions'],[],0,125,Jesse Heisel
997398,tt13449254,0,[],"['United States of America', 'United Kingdom', 'India']",0,103,Pushan Kripalani
997400,,0,[],[],0,90,Matt Hargreaves
997433,,0,[],['Argentina'],0,0,Julieta Amalric
